OBS.: PCD com horario UTC!
cod.estacao;nome;municipio;uf;latitude;longitude;datahora;sensor;valor;qualificacao;offset
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 05:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 05:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 06:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 06:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 07:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 07:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 08:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 08:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 09:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 09:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 10:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 10:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 11:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 11:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 12:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 12:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 13:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 13:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 14:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 14:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 15:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 15:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 16:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 16:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 17:10:00;intensidade_precipitacao;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 17:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 18:10:00;chuva;0.0;0000;
420570403A;Areias de Palhocinha;GAROPABA;SC;-28.0529;-48.6479;2023-08-17 18:10:00;intensidade_precipitacao;0.0;0000;
